Data;Ret_USD;ret_IBOV;ret_CVCB3;;;;;
29/06/2015;0,00;-0,02;-0,01;;;;;
30/06/2015;-0,01;0,00;0,04;;;;;
01/07/2015;0,01;-0,01;-0,01;;;;;
02/07/2015;0,00;0,01;-0,01;;;;;
03/07/2015;0,00;-0,01;0,04;;;;;
06/07/2015;0,01;-0,01;-0,02;;;;;
07/07/2015;0,01;0,00;-0,01;;;;;
08/07/2015;0,01;-0,01;-0,01;;;;;
10/07/2015;-0,01;0,02;0,02;;;;;
13/07/2015;-0,01;0,01;0,02;;;;;
14/07/2015;-0,01;0,00;0,04;;;;;
15/07/2015;0,01;-0,01;0,00;;;;;
16/07/2015;0,00;0,00;0,01;;;;;
17/07/2015;0,01;-0,01;-0,01;;;;;
20/07/2015;0,01;-0,01;0,00;;;;;
21/07/2015;-0,01;0,00;0,00;;;;;
22/07/2015;0,01;-0,01;-0,03;;;;;
23/07/2015;0,02;-0,02;-0,02;;;;;
24/07/2015;0,01;-0,01;-0,01;;;;;
27/07/2015;0,01;-0,01;-0,01;;;;;
28/07/2015;0,01;0,02;-0,02;;;;;
29/07/2015;-0,01;0,01;0,02;;;;;
30/07/2015;0,01;-0,01;-0,03;;;;;
31/07/2015;0,01;0,02;0,04;;;;;
03/08/2015;0,01;-0,01;-0,03;;;;;
04/08/2015;0,01;0,00;0,00;;;;;
05/08/2015;0,01;0,00;0,02;;;;;
06/08/2015;0,01;-0,01;-0,02;;;;;
07/08/2015;0,00;-0,03;0,01;;;;;
10/08/2015;-0,01;0,02;0,00;;;;;
11/08/2015;0,00;-0,01;-0,02;;;;;
12/08/2015;0,00;-0,01;0,00;;;;;
13/08/2015;0,01;-0,01;-0,01;;;;;
14/08/2015;-0,01;-0,01;-0,01;;;;;
17/08/2015;0,00;-0,01;-0,01;;;;;
18/08/2015;0,00;0,00;-0,01;;;;;
19/08/2015;0,00;-0,02;0,00;;;;;
20/08/2015;0,00;0,00;-0,02;;;;;
21/08/2015;0,00;-0,02;0,00;;;;;
24/08/2015;0,02;-0,03;0,01;;;;;
25/08/2015;0,00;0,00;-0,02;;;;;
26/08/2015;0,03;0,03;0,03;;;;;
27/08/2015;-0,02;0,04;-0,02;;;;;
28/08/2015;0,01;-0,01;0,00;;;;;
31/08/2015;0,02;-0,01;-0,01;;;;;
01/09/2015;0,01;-0,02;-0,02;;;;;
02/09/2015;0,02;0,02;-0,03;;;;;
03/09/2015;0,01;0,02;0,03;;;;;
04/09/2015;0,01;-0,02;0,02;;;;;
08/09/2015;0,00;0,01;0,02;;;;;
09/09/2015;0,00;0,00;-0,01;;;;;
10/09/2015;0,02;0,00;-0,04;;;;;
11/09/2015;0,00;0,00;-0,02;;;;;
14/09/2015;0,00;0,02;-0,01;;;;;
15/09/2015;0,00;0,00;0,00;;;;;
16/09/2015;-0,01;0,03;0,02;;;;;
17/09/2015;0,01;0,00;0,01;;;;;
18/09/2015;0,00;-0,03;0,02;;;;;
21/09/2015;0,02;-0,01;-0,04;;;;;
22/09/2015;0,02;-0,01;-0,04;;;;;
23/09/2015;0,02;-0,02;-0,04;;;;;
24/09/2015;0,02;0,00;-0,02;;;;;
